ciência da computação;5 período;BCC35E - Engenharia de Software 1 (IC5A_CM)
ciência da computação;5 período;BCC35F - Computação Gráfica (IC5A_CM)
ciência da computação;6 período;BCC36C - SISTEMAS DISTRIBUIDOS (IC6A_CM)
ciência da computação;6 período;BCC36D - SEGURANCA E AUDITORIA DE SISTEMAS (IC6A_CM)
ciência da computação;6 período;BCC36F - Processamento de Imagens (IC6A_CM)
ciência da computação;6 período;BCC36A - METODOLOGIA DE PESQUISA (IC6A_CM)
ciência da computação;6 período;BCC36E - ENGENHARIA DE SOFTWARE 2 (IC6A_CM)
ciência da computação;6 período;BCC36B - Compiladores (IC6A_CM)
ciência da computação;7 período;BCC37C - Trabalho De Conclusão De Curso I (IC71A_CM)
ciência da computação;7 período;BCC37B - Topicos Avancados Em Ciencia Da Computacao 1 (IC7B_CM)
ciência da computação;7 período;BCC37C - TRABALHO DE CONCLUSÃO DE CURSO I (IC7A_CM)
ciência da computação;7 período;BCC37B - TOPICOS AVANCADOS EM CIENCIA DA COMPUTACAO 1 (IC7A_CM)
ciência da computação;8 período;BCC38B - Topicos Avancados Em Ciencia Da Computacao 2 (IC8B_CM)
ciência da computação;8 período;ES38A - Estagio Supervisionado (IC8A_CM)
ciência da computação;8 período;TCC2 - TRABALHO DE CONCLUSÃO DE CURSO (IC8A_CM)
ciência da computação;8 período;LT39C - EMPREENDEDORISMO (IC8A_CM)
ciência da computação;8 período;BCC38B - TOPICOS AVANCADOS EM CIENCIA DA COMPUTACAO 2 (IC8A_CM)
ciência da computação;8 período;BCC38A - EMPREENDEDORISMO (IC8A_CM)
engenharia ambiental;1 período;EA31B - COMPUTAÇÃO I (IF1B_CM)
engenharia ambiental;1 período;EA31G - QUÍMICA (IF1B_CM)
engenharia ambiental;1 período;EA31G - QUÍMICA (IF1A_CM)
engenharia ambiental;1 período;EA31E - INTRODUÇÃO À ENGENHARIA (IF1A_CM)
engenharia ambiental;1 período;EA31D - ECOLOGIA BÁSICA (IF1A_CM)
engenharia ambiental;1 período;EA31B - COMPUTAÇÃO I (IF1A_CM)
engenharia ambiental;1 período;EA31F - MATEMÁTICA I (IF1A_CM)
engenharia ambiental;1 período;EA31C - COMUNICAÇÃO ORAL E ESCRITA (IF1A_CM)
engenharia ambiental;1 período;EA31A - CALCULO DIFERENCIAL E INTEGRAL I (IF1A_CM)
engenharia ambiental;2 período;EA32G - Hidrologia Aplicada (IF2B_CM)
engenharia ambiental;2 período;AT31A - Atividades Complementares (IF2A_CM)
engenharia ambiental;2 período;EA32G - HIDROLOGIA APLICADA (IF2A_CM)
engenharia ambiental;2 período;EA32E - GEOLOGIA E PEDOLOGIA (IF2B_CM)
engenharia ambiental;2 período;EA32E - GEOLOGIA E PEDOLOGIA (IF2A_CM)
engenharia ambiental;2 período;EA32D - ECOSSISTEMAS (IF2B_CM)
engenharia ambiental;2 período;EA32D - ECOSSISTEMAS (IF2A_CM)
engenharia ambiental;2 período;EA32F - MATEMÁTICA II (IF2A_CM)
engenharia ambiental;2 período;EA32C - FISICA I (IF2B_CM)
engenharia ambiental;2 período;EA32C - FISICA I (IF2A_CM)
engenharia ambiental;2 período;EA32A - CALCULO DIFERENCIAL E INTEGRAL II (IF2A_CM)
engenharia ambiental;3 período;EA33A - Desenho Técnico (IF3B_CM)
engenharia ambiental;3 período;EA33G - QUÍMICA ORGÂNICA E BIOQUMICA (IF3B_CM)
engenharia ambiental;3 período;EA33G - QUÍMICA ORGÂNICA E BIOQUMICA (IF3A_CM)
engenharia ambiental;3 período;EA33H - MECÂNICA I (IF3A_CM)
engenharia ambiental;3 período;EA33F - FENÔMENOS DE TRANSPORTE (IF3B_CM)
engenharia ambiental;3 período;EA33F - FENÔMENOS DE TRANSPORTE (IF3A_CM)
engenharia ambiental;3 período;EA33A - DESENHO TÉCNICO (IF3A_CM)
engenharia ambiental;3 período;EA33D - BIOLOGIA GERAL (IF3B_CM)
engenharia ambiental;3 período;EA33D - BIOLOGIA GERAL (IF3A_CM)
engenharia ambiental;3 período;EA33E - METODOLOGIA DE PESQUISA (IF3A_CM)
engenharia ambiental;3 período;EA33C - FISICA II (IF3B_CM)
engenharia ambiental;3 período;EA33C - FISICA II (IF3A_CM)
engenharia ambiental;4 período;EA34G - QUIMICA ANALÍTICA QUANTITATIVA (IF4B_CM)
engenharia ambiental;4 período;EA34G - QUIMICA ANALÍTICA QUANTITATIVA (IF4A_CM)
engenharia ambiental;4 período;EA34E - GEOMORFOLOGIA (IF4A_CM)
engenharia ambiental;4 período;EA34A - CARTOGRAFIA (IF4B_CM)
engenharia ambiental;4 período;EA34A - CARTOGRAFIA (IF4A_CM)
engenharia ambiental;4 período;EA34H - MECÂNICA II (IF4A_CM)
engenharia ambiental;4 período;EA34C - FISICA III (IF4B_CM)
engenharia ambiental;4 período;EA34C - FISICA III (IF4A_CM)
engenharia ambiental;4 período;EA34D - CALCULO NUMERICO (IF4A_CM)
engenharia ambiental;5 período;EA35E - ZOOLOGIA APLICADA (IF5B_CM)
engenharia ambiental;5 período;EA35E - ZOOLOGIA APLICADA (IF5A_CM)
engenharia ambiental;5 período;EA35B - TOPOGRAFIA (IF5A_CM)
engenharia ambiental;5 período;EA35F - RESISTÊNCIA DOS MATERIAIS (IF5A_CM)
engenharia ambiental;5 período;EA35G - LEGISLAÇÃO AMBIENTAL (IF5A_CM)
engenharia ambiental;5 período;EA35A - GEOPROCESSAMENTO (IF5B_CM)
engenharia ambiental;5 período;EA35A - GEOPROCESSAMENTO (IF5A_CM)
engenharia ambiental;5 período;EA35D - ECOLOGIA VEGETAL (IF5A_CM)
engenharia ambiental;5 período;EA35C - PROBABILIDADE E ESTATÍSTICA (IF5A_CM) - Eng. Ambiental
engenharia ambiental;6 período;EA36F - Introdução A Processos Industriais (IF6B_CM)
engenharia ambiental;6 período;EA36B - BIODIVERSIDADE (IF6B_CM)
engenharia ambiental;6 período;EA36G - USO E CONSERVAÇÃO DO SOLO (IF6A_CM)
engenharia ambiental;6 período;EA36C - PRINCÍPIOS DE ELETROTÉCNICA (IF6A_CM)
engenharia ambiental;6 período;EA36F - INTRODUÇÃO A PROCESSOS INDUSTRIAIS (IF6A_CM)
engenharia ambiental;6 período;EA36H - HIDRÁULICA (IF6A_CM)
engenharia ambiental;6 período;EA36A - GESTÃO EMPRESARIAL (IF6A_CM)
engenharia ambiental;6 período;EA36E - ECONOMIA (IF6A_CM)
engenharia ambiental;6 período;EA36D - BIOESTATÍSTICA (IF6B_CM)
engenharia ambiental;6 período;EA36D - BIOESTATÍSTICA (IF6A_CM)
engenharia ambiental;6 período;EA36B - BIODIVERSIDADE (IF6A_CM)
engenharia ambiental;7 período;EA37D - MICROBIOLOGIA AMBIENTAL (IF7B_CM)
engenharia ambiental;7 período;EA37F - SISTEMA DE GESTÃO AMBIENTAL (IF7A_CM)
engenharia ambiental;7 período;EA37D - MICROBIOLOGIA AMBIENTAL (IF7A_CM)
engenharia ambiental;7 período;EA37B - MANEJO DE RECURSOS NATURAIS (IF7B_CM)
